station_id,name,latitude,longitude,type,elevation,setup_date,measurement_frequency
AQS_001,Monitor Station 1,40.584689200395616,-74.2975189958252,Industrial,162.99108274906214,2022-09-26 00:37:11.334562,Real-time
AQS_002,Monitor Station 2,40.664025538753265,-73.81026741010233,Government,193.2381751233595,2020-03-19 00:37:11.334562,Daily
AQS_003,Monitor Station 3,40.35404985799387,-74.1274195474628,Industrial,72.37967155606115,2023-10-29 00:37:11.334562,Real-time
AQS_004,Monitor Station 4,40.361717902980345,-74.04837879480114,Research,7.878160041171345,2022-09-03 00:37:11.334562,Daily
AQS_005,Monitor Station 5,40.500905721430115,-74.14323397541028,Government,134.53463446037995,2021-03-23 00:37:11.334562,Real-time
AQS_006,Monitor Station 6,40.12587746989494,-74.47246947345518,Research,151.04282725101527,2023-04-15 00:37:11.334562,Hourly
AQS_007,Monitor Station 7,40.52051203446292,-73.85462462489436,Research,141.0161666140281,2024-06-02 00:37:11.334562,Hourly
AQS_008,Monitor Station 8,40.05303165657555,-74.33425048725984,Industrial,118.00120434549923,2020-12-25 00:37:11.334562,Daily
AQS_009,Monitor Station 9,40.19098321307601,-74.17245035272221,Industrial,71.6056157239624,2017-12-20 00:37:11.334562,Daily
AQS_010,Monitor Station 10,40.94314752210566,-74.24960290253802,Government,89.38433433658273,2015-11-15 00:37:11.334562,Daily
AQS_011,Monitor Station 11,40.315515653963374,-74.35553951962025,Government,1.477075054525323,2016-02-21 00:37:11.334562,Daily
AQS_012,Monitor Station 12,40.35878419278283,-73.93647208608934,Research,111.49185589518078,2016-07-30 00:37:11.334562,Real-time
